modality,chunk_size,seed,acc,auc,region
spatial,400.0,17,60.317460317460316,0.6359026369168357,ncx
spatial,800.0,17,55.555555555555564,0.6643002028397565,ncx
spatial,1600.0,17,60.317460317460316,0.6764705882352942,ncx
temporal,0.0,17,65.07936507936508,0.7312373225152129,ncx
temporal,100.0,17,57.14285714285714,0.6592292089249493,ncx
temporal,200.0,17,66.66666666666667,0.7261663286004056,ncx
temporal,400.0,17,71.42857142857143,0.7434077079107504,ncx
temporal,800.0,17,66.66666666666667,0.7342799188640973,ncx
temporal,1600.0,17,71.42857142857143,0.7606490872210951,ncx
morphological,0.0,17,98.41269841269842,0.9939148073022313,ncx
morphological,100.0,17,98.41269841269842,0.9949290060851927,ncx
morphological,200.0,17,98.41269841269842,0.9949290060851927,ncx
morphological,400.0,17,98.41269841269842,0.9949290060851926,ncx
morphological,800.0,17,98.41269841269842,0.9949290060851926,ncx
morphological,1600.0,17,98.41269841269842,0.995943204868154,ncx
spatial,0.0,18,50.79365079365079,0.6602434077079108,ncx
spatial,100.0,18,65.07936507936508,0.7008113590263692,ncx
spatial,200.0,18,58.73015873015873,0.6724137931034483,ncx
spatial,400.0,18,60.317460317460316,0.6835699797160243,ncx
spatial,800.0,18,61.904761904761905,0.6734279918864097,ncx
spatial,1600.0,18,60.317460317460316,0.6693711967545639,ncx
temporal,0.0,18,58.73015873015873,0.7403651115618661,ncx
temporal,100.0,18,58.73015873015873,0.6632860040567952,ncx
temporal,200.0,18,63.492063492063494,0.7281947261663286,ncx
temporal,400.0,18,71.42857142857143,0.7596348884381339,ncx
temporal,800.0,18,63.492063492063494,0.7352941176470587,ncx
temporal,1600.0,18,65.07936507936508,0.7494929006085191,ncx
morphological,0.0,18,96.82539682539681,0.9949290060851927,ncx
morphological,100.0,18,98.41269841269842,0.9949290060851927,ncx
morphological,200.0,18,98.41269841269842,0.9949290060851927,ncx
morphological,400.0,18,98.41269841269842,0.9959432048681542,ncx
morphological,800.0,18,98.41269841269842,0.9969574036511156,ncx
morphological,1600.0,18,98.41269841269842,0.9959432048681542,ncx
spatial,0.0,19,58.73015873015873,0.7099391480730223,ncx
spatial,100.0,19,61.904761904761905,0.6713995943204867,ncx
spatial,200.0,19,57.14285714285714,0.6541582150101419,ncx
spatial,400.0,19,60.317460317460316,0.6845841784989857,ncx
spatial,800.0,19,58.73015873015873,0.6713995943204868,ncx
